"","FIPS","YEAR","RDEATH"
"683","18039","2011",7.661789604
"684","18041","2011",13.285198556
"685","18043","2011",9.5666290326
"686","18045","2011",11.558679174
"687","18047","2011",8.4600533634
"688","18049","2011",13.043896804
"689","18051","2011",9.6915117267
"690","18053","2011",11.855016163
"691","18055","2011",10.296049155
"692","18057","2011",4.5261234485
"693","18059","2011",8.8187184411
"694","18061","2011",9.3991186734
"695","18063","2011",6.71377852
"696","18065","2011",11.139691734
"697","18067","2011",10.450078225
"698","18069","2011",10.257929029
"699","18071","2011",10.479164474
"700","18073","2011",8.1885151592
"701","18075","2011",9.4557087077
"702","18077","2011",11.319529281
"703","18079","2011",10.382089131
"704","18081","2011",8.4467186519
"705","18083","2011",12.567651957
"706","18085","2011",8.4037416043
"707","18087","2011",6.7802969395
"708","18089","2011",9.1371388262
"709","18091","2011",10.198585126
"710","18093","2011",10.840931019
"711","18095","2011",11.44615244
"712","18097","2011",8.1671630481
"713","18099","2011",9.0485213652
"714","18101","2011",9.6641700894
"715","18103","2011",9.1479600866
"716","18105","2011",6.2338817571
"717","18107","2011",9.5243079177
"718","18109","2011",9.1493159694
"719","18111","2011",12.5004414
"720","18113","2011",9.4566639929
"721","18115","2011",10.380622837
"722","18117","2011",11.368495183
"723","18119","2011",9.1975380327
"724","18121","2011",9.2552169737
"725","18123","2011",10.712814174
"726","18125","2011",11.455206194
"727","18127","2011",7.7394408451
"728","18129","2011",9.1163007215
"729","18131","2011",12.202470624
"730","18133","2011",8.7890625
"731","18135","2011",10.649096934
"732","18137","2011",10.929342151
"733","18139","2011",11.653061813
"734","18141","2011",9.5336818644
"735","18143","2011",12.35492325
"736","18145","2011",10.634814907
"737","18147","2011",8.9294241238
"738","18149","2011",11.393928971
"739","18151","2011",8.5659386597
"740","18153","2011",11.171610965
"741","18155","2011",10.211251112
"742","18157","2011",6.2126574298
"743","18159","2011",10.348961949
"744","18161","2011",9.7119670059
"745","18163","2011",10.091310261
"746","18165","2011",14.725984839
"747","18167","2011",10.517163233
"748","18169","2011",12.535351219
"749","18171","2011",8.3573656642
"750","18173","2011",8.2972342552
"751","18175","2011",10.692536468
"752","18177","2011",10.674422832
"753","18179","2011",9.3468062071
"754","18181","2011",10.918315576
"755","18183","2011",9.5636401793
"756","19001","2011",15.238095238
"757","19003","2011",11.226144443
"758","19005","2011",11.748251748
"759","19007","2011",11.904761905
"760","19009","2011",13.716741035
"761","19011","2011",8.5565190699
"762","19013","2011",8.6623583232
"763","19015","2011",10.997165091
"764","19017","2011",8.6284822089
"765","19019","2011",10.361704668
"766","19021","2011",11.213022844
"767","19023","2011",12.24817616
"768","19025","2011",15.328322785
"769","19027","2011",10.891469149
"770","19029","2011",13.216336258
"771","19031","2011",10.378178657
"772","19033","2011",10.537312077
"773","19035","2011",12.927819673
"774","19037","2011",10.880515817
"775","19039","2011",11.911788378
"776","19041","2011",11.675844844
"777","19043","2011",11.469097155
"778","19045","2011",10.977820322
"779","19047","2011",10.643557158
"780","19049","2011",5.1742081116
"781","19051","2011",10.258163789
"782","19053","2011",11.639767205
"783","19055","2011",8.9275624364
"784","19057","2011",11.231897593
"785","19059","2011",11.870321214
"786","19061","2011",9.2084743425
"787","19063","2011",11.195678861
"788","19065","2011",11.329955063
"789","19067","2011",11.418343414
"790","19069","2011",11.30893967
"791","19071","2011",12.022965214
"792","19073","2011",11.982454263
"793","19075","2011",10.184034321
"794","19077","2011",11.928794274
"795","19079","2011",10.160771704
"796","19081","2011",9.4736376112
"797","19083","2011",13.001890143
"798","19085","2011",13.480268257
"799","19087","2011",11.450097896
"800","19089","2011",12.346970807
"801","19091","2011",12.158986411
"802","19093","2011",15.022675737
"803","19095","2011",9.3698328128
"804","19097","2011",12.233343444
"805","19099","2011",9.096603753
"806","19101","2011",9.6071670645
"807","19103","2011",4.3402418027
"808","19105","2011",9.1233828925
"809","19107","2011",9.6622979049
"810","19109","2011",11.964430073
"811","19111","2011",12.013778039
"812","19113","2011",7.6072052443
"813","19115","2011",9.4890831613
"814","19117","2011",11.249859377
"815","19119","2011",9.1147512791
"816","19121","2011",9.7843006449
"817","19123","2011",9.8866596896
"818","19125","2011",9.3841642229
"819","19127","2011",11.206949287
"820","19129","2011",9.5000830427
"821","19131","2011",12.463956841
"822","19133","2011",15.579357352
"823","19135","2011",15.320421
"824","19137","2011",13.788575181
"825","19139","2011",8.8971918968
"826","19141","2011",13.204778872
"827","19143","2011",13.150684932
"828","19145","2011",13.136805054
"829","19147","2011",14.825085324
"830","19149","2011",9.4792440705
"831","19151","2011",15.179741944
"832","19153","2011",7.1244155304
"833","19155","2011",8.9692338155
"834","19157","2011",11.633748447
"835","19159","2011",18.500295217
"836","19161","2011",13.802488336
"837","19163","2011",8.6230532599
"838","19165","2011",13.076222792
"839","19167","2011",6.964733658
"840","19169","2011",5.4649040323
"841","19171","2011",12.283134747
"842","19173","2011",13.939489941
"843","19175","2011",10.929833659
"844","19177","2011",11.663353214
"845","19179","2011",11.325314748
"846","19181","2011",8.3024143679
"847","19183","2011",12.319007125
"848","19185","2011",13.483850737
"849","19187","2011",11.74230403
"850","19189","2011",12.626497075
"851","19191","2011",8.4031618677
"852","19193","2011",8.8343701855
"853","19195","2011",10.961436873
"854","19197","2011",12.738853503
"855","20001","2011",13.850934002
"856","20003","2011",11.878982862
"857","20005","2011",11.068793144
