"","FIPS","YEAR","RNETMIG"
"504","13295","2011",-2.39701898
"505","13297","2011",3.8429149221
"506","13299","2011",-3.031054531
"507","13301","2011",-16.58085348
"508","13303","2011",-7.132328468
"509","13305","2011",2.4847601378
"510","13307","2011",-4.688908927
"511","13309","2011",36.976274609
"512","13311","2011",6.5929235953
"513","13313","2011",-5.474922811
"514","13315","2011",-6.247980179
"515","13317","2011",-13.77504002
"516","13319","2011",-14.35735022
"517","13321","2011",-9.81390612
"518","16001","2011",13.193794235
"519","16003","2011",10.071761299
"520","16005","2011",-1.740059162
"521","16007","2011",-2.683438155
"522","16009","2011",-11.04912528
"523","16011","2011",-6.306050754
"524","16013","2011",-16.51800463
"525","16015","2011",0.1429490387
"526","16017","2011",-3.30542089
"527","16019","2011",-1.605792254
"528","16021","2011",-18.23847493
"529","16023","2011",-28.8796103
"530","16025","2011",-7.171671896
"531","16027","2011",0.6041486626
"532","16029","2011",-25.03980316
"533","16031","2011",-6.885203308
"534","16033","2011",-31.0237849
"535","16035","2011",-5.306875865
"536","16037","2011",-7.601935038
"537","16039","2011",-45.14266432
"538","16041","2011",-8.284162401
"539","16043","2011",-16.17680565
"540","16045","2011",2.0372090236
"541","16047","2011",-12.00285473
"542","16049","2011",9.4592945197
"543","16051","2011",-10.01218212
"544","16053","2011",-7.33953116
"545","16055","2011",11.287440132
"546","16057","2011",8.8669950739
"547","16059","2011",5.1446138403
"548","16061","2011",-4.196170994
"549","16063","2011",-23.02186109
"550","16065","2011",-15.20529801
"551","16067","2011",-0.943162075
"552","16069","2011",4.2157124173
"553","16071","2011",-17.59943682
"554","16073","2011",-11.11646024
"555","16075","2011",-9.206798867
"556","16077","2011",-21.97802198
"557","16079","2011",-2.046357877
"558","16081","2011",-11.32335565
"559","16083","2011",1.2464261621
"560","16085","2011",-17.40115321
"561","16087","2011",-4.036823709
"562","17001","2011",0.1488416399
"563","17003","2011",-25.80565502
"564","17005","2011",-3.942218343
"565","17007","2011",-4.324044645
"566","17009","2011",-3.622925875
"567","17011","2011",-7.674177972
"568","17013","2011",-11.03992114
"569","17015","2011",-7.902556902
"570","17017","2011",-3.448022889
"571","17019","2011",2.7177739949
"572","17021","2011",0.1151659109
"573","17023","2011",-4.985689225
"574","17025","2011",-4.573336721
"575","17027","2011",2.187837731
"576","17029","2011",-4.353893385
"577","17031","2011",-2.313511081
"578","17033","2011",-0.353740809
"579","17035","2011",3.0723354267
"580","17037","2011",-12.39533386
"581","17039","2011",-2.414146901
"582","17041","2011",-9.032970342
"583","17043","2011",2.1738493413
"584","17045","2011",-4.281958861
"585","17047","2011",-11.34074461
"586","17049","2011",-1.197185155
"587","17051","2011",8.5375991373
"588","17053","2011",-8.08239754
"589","17055","2011",2.2480891242
"590","17057","2011",-2.027410591
"591","17059","2011",-9.762270632
"592","17061","2011",-3.532040655
"593","17063","2011",-6.224252641
"594","17065","2011",0
"595","17067","2011",-5.618272512
"596","17069","2011",-1.625449901
"597","17071","2011",-13.59983515
"598","17073","2011",-3.87154415
"599","17075","2011",-4.256684853
"600","17077","2011",-2.99812824
"601","17079","2011",1.3347707788
"602","17081","2011",-0.232246078
"603","17083","2011",-3.531412129
