"","FIPS","YEAR","RINTERNATIONALMIG"
"643","17163","2011",0.2479640119
"644","17165","2011",0.2810737015
"645","17167","2011",1.1642939767
"646","17169","2011",-0.133342223
"647","17171","2011",0
"648","17173","2011",0.3584871841
"649","17175","2011",0.169333672
"650","17177","2011",0.1474786419
"651","17179","2011",0.1621605684
"652","17181","2011",0.3387629506
"653","17183","2011",0.2575833773
"654","17185","2011",1.602699283
"655","17187","2011",1.5752904442
"656","17189","2011",-0.068287353
"657","17191","2011",0.1796460972
"658","17193","2011",0.342618289
"659","17195","2011",0.2740382969
"660","17197","2011",1.3724110084
"661","17199","2011",0.5557057463
"662","17201","2011",1.1720242898
"663","17203","2011",0.2580478679
"664","18001","2011",0.2615822822
"665","18003","2011",2.1764703414
"666","18005","2011",3.341146609
"667","18007","2011",0
"668","18009","2011",0.4719392771
"669","18011","2011",0.8011773824
"670","18013","2011",-0.198130965
"671","18015","2011",-0.149097957
"672","18017","2011",1.5917639055
"673","18019","2011",0.657488843
"674","18021","2011",-0.037250191
"675","18023","2011",0.6641008226
"676","18025","2011",0
"677","18027","2011",0.8795351029
"678","18029","2011",-0.259820724
"679","18031","2011",1.4313346228
"680","18033","2011",0.2357656489
"681","18035","2011",1.2225873004
"682","18037","2011",0.9516219206
"683","18039","2011",-0.156672479
"684","18041","2011",0
"685","18043","2011",-0.146973351
"686","18045","2011",-0.174251445
"687","18047","2011",0.5206186685
"688","18049","2011",0.0962649211
"689","18051","2011",-0.029820036
"690","18053","2011",0.2293594421
"691","18055","2011",0.0301936925
"692","18057","2011",2.2934264041
"693","18059","2011",-0.25602731
"694","18061","2011",0.3311342622
"695","18063","2011",1.744632032
"696","18065","2011",0
"697","18067","2011",0.9906432537
"698","18069","2011",0.2423132842
"699","18071","2011",1.263113575
"700","18073","2011",-0.029885092
"701","18075","2011",0.0940866538
"702","18077","2011",0.1546383782
"703","18079","2011",0.0706264567
"704","18081","2011",1.3545955185
"705","18083","2011",0.4683597002
"706","18085","2011",0.3749361639
"707","18087","2011",0.2947955191
"708","18089","2011",0.0787162391
"709","18091","2011",-0.053865767
"710","18093","2011",0.7371833093
"711","18095","2011",0.4645477704
"712","18097","2011",2.8428115748
"713","18099","2011",0.5535566012
"714","18101","2011",0
"715","18103","2011",-0.217808573
"716","18105","2011",6.649952116
"717","18107","2011",-0.183159768
"718","18109","2011",0.2457162267
"719","18111","2011",0.5649917017
"720","18113","2011",-0.4221725
"721","18115","2011",-0.494315373
"722","18117","2011",0.1509092281
"723","18119","2011",-0.092904425
"724","18121","2011",0.1746267354
"725","18123","2011",-0.154511743
"726","18125","2011",0.1580028441
"727","18127","2011",0.612124922
"728","18129","2011",0.0775855381
"729","18131","2011",0.0753238927
"730","18133","2011",0.8445945946
"731","18135","2011",-0.19153052
"732","18137","2011",0.8005569092
"733","18139","2011",-0.11537685
"734","18141","2011",1.2934015899
"735","18143","2011",-0.166396273
"736","18145","2011",0.7902728699
"737","18147","2011",0
"738","18149","2011",-0.128987875
